Process Name,PID,CPU Percent,Memory Percent
AssetCache,416,0.0,0.0072956085205078125
distnoted,417,0.0,0.00324249267578125
com.apple.AmbientDisplayAgent,422,0.0,0.00934600830078125
securityd_service,431,0.0,9.5367431640625e-05
distnoted,432,0.0,0.028467178344726562
cfprefsd,433,0.0,0.04048347473144531
UserEventAgent,434,0.0,0.04787445068359375
gamecontrollerd,435,0.0,0.020313262939453125
knowledge-agent,438,0.0,0.10972023010253906
ContinuityCaptureAgent,439,0.0,0.04706382751464844
com.apple.sbd,441,0.0,0.043773651123046875
WindowManager,442,0.0,0.11954307556152344
lsd,443,0.0,0.06899833679199219
BackgroundTaskManagementAgent,444,0.0,0.012493133544921875
tccd,445,0.0,0.06513595581054688
trustd,446,0.0,0.08931159973144531
csnameddatad,447,0.0,0.0058650970458984375
distnoted,448,0.0,0.00324249267578125
containermanagerd,449,0.0,0.03147125244140625
secd,450,0.0,0.06461143493652344
ContextStoreAgent,451,0.0,0.11630058288574219
ControlCenter,452,0.0,0.2544403076171875
gamecontrolleragentd,453,0.0,0.012731552124023438
usernoted,454,0.0,0.10828971862792969
BiomeAgent,455,0.0,0.031566619873046875
talagent,457,0.0,0.01239776611328125
Safari,458,0.0,0.27480125427246094
distnoted,459,0.0,0.0031948089599609375
accountsd,460,0.0,0.21600723266601562
cloudd,461,0.0,0.18482208251953125
donotdisturbd,462,0.0,0.06947517395019531
TrustedPeersHelper,463,0.0,0.03237724304199219
filecoordinationd,464,0.0,0.026273727416992188
siriactionsd,465,0.0,0.08015632629394531
rapportd,466,0.0,0.06346702575683594
NotificationCenter,467,0.0,0.19159317016601562
routined,468,0.0,0.11963844299316406
CoreLocationAgent,469,0.0,0.026798248291015625
bird,470,0.0,0.027704238891601562
nsurlsessiond,471,0.0,0.09183883666992188
secinitd,472,0.0,0.018310546875
calaccessd,473,0.0,0.09508132934570312
CommCenter,474,0.0,0.04825592041015625
ControlStrip,475,0.0,0.05307197570800781
identityservicesd,476,0.0,0.12540817260742188
lockoutagent,478,0.0,0.027894973754882812
assistantd,479,0.0,0.15664100646972656
Google Chrome,480,0.0,2.5077342987060547
networkserviceproxy,482,0.0,0.09789466857910156
swcd,483,0.0,0.025415420532226562
dmd,484,0.0,0.018978118896484375
linkd,485,0.0,0.01506805419921875
siriknowledged,486,0.0,0.087738037109375
ScreenTimeAgent,488,0.0,0.0400543212890625
com.apple.hiservices-xpcservice,489,0.0,0.019693374633789062
nearbyd,490,0.0,0.03566741943359375
pboard,491,0.0,0.040531158447265625
fileproviderd,492,0.0,0.03304481506347656
replayd,493,0.0,0.008058547973632812
sociallayerd,494,0.0,0.0072002410888671875
suggestd,495,0.0,0.35309791564941406
callservicesd,496,0.0,0.09260177612304688
iconservicesagent,497,0.0,0.049686431884765625
distnoted,498,0.0,0.00324249267578125
Notes,499,0.0,0.5117416381835938
Terminal,500,0.0,2.414989471435547
Mail,501,0.0,0.6791591644287109
sublime_text,506,0.0,0.11959075927734375
ctkd,507,0.0,0.015544891357421875
Dock,508,0.0,0.1804828643798828
SystemUIServer,509,0.0,0.05035400390625
fontd,510,0.0,0.05860328674316406
Finder,511,0.0,0.15764236450195312
pkd,512,0.0,0.044536590576171875
syncdefaultsd,515,0.0,0.10652542114257812
transparencyd,516,0.0,0.05364418029785156
Spotlight,517,0.0,0.07596015930175781
mobiletimerd,518,0.0,0.015735626220703125
AudioComponentRegistrar,519,0.0,0.012731552124023438
sharedfilelistd,520,0.0,0.024127960205078125
coreauthd,521,0.0,0.030994415283203125
sharingd,522,0.0,0.09989738464355469
fontworker,523,0.0,0.013399124145507812
familycircled,525,0.0,0.05431175231933594
homed,529,0.0,0.087738037109375
com.apple.siri.embeddedspeech,530,0.0,0.026082992553710938
contactsd,531,0.0,0.11157989501953125
QuickLookUIService,532,0.0,0.023174285888671875
corespotlightd,533,0.0,0.34003257751464844
ViewBridgeAuxiliary,535,0.0,0.03638267517089844
akd,539,0.0,0.07271766662597656
automountd,540,0.0,0.0003814697265625
AMPDeviceDiscoveryAgent,542,0.0,0.020170211791992188
WiFiAgent,546,0.0,0.054836273193359375
CoreServicesUIAgent,549,0.0,0.018739700317382812
parsecd,551,0.0,0.07429122924804688
spindump,552,0.0,0.016546249389648438
triald,554,0.0,0.03819465637207031
wifivelocityd,556,0.0,0.016117095947265625
ScopedBookmarkAgent,558,0.0,0.020647048950195312
useractivityd,560,0.0,0.03800392150878906
com.apple.geod,561,0.0,0.06928443908691406
com.apple.dock.extra,562,0.0,0.08358955383300781
itunescloudd,563,0.0,0.1338481903076172
com.apple.accessibility.mediaaccessibilityd,566,0.0,0.0070095062255859375
imklaunchagent,567,0.0,0.019741058349609375
PAH_Extension,568,0.0,0.03762245178222656
EmojiFunctionRowIM_Extension,569,0.0,0.0377655029296875
cloudpaird,570,0.0,0.03752708435058594
StatusKitAgent,571,0.0,0.014352798461914062
mdwrite,572,0.0,0.002574920654296875
imagent,573,0.0,0.10542869567871094
ContextService,574,0.0,0.013828277587890625
iCloudNotificationAgent,577,0.0,0.05288124084472656
UsageTrackingAgent,578,0.0,0.024652481079101562
pbs,579,0.0,0.028181076049804688
com.apple.FaceTime.FTConversationService,580,0.0,0.00820159912109375
IMDPersistenceAgent,581,0.0,0.07309913635253906
mediaremoteagent,582,0.0,0.0041961669921875
avconferenced,583,0.0,0.019359588623046875
cdpd,586,0.0,0.030374526977539062
com.apple.quicklook.ThumbnailsAgent,587,0.0,0.05927085876464844
fmfd,588,0.0,0.05054473876953125
countryd,590,0.0,0.012540817260742188
PlugInLibraryService,596,0.0,0.00362396240234375
UniversalControl,602,0.0,0.08940696716308594
biomesyncd,603,0.0,0.04520416259765625
neagent,604,0.0,0.041294097900390625
XProtectBehaviorService,605,0.0,0.014734268188476562
CMFSyncAgent,607,0.0,0.015401840209960938
amsaccountsd,611,0.0,0.05035400390625
